online_order,book_table,rate,votes,rest_type,cuisines,cost,menu_item,type,city
1,0,3.6,15,78,2381,100,8778,2,1
1,0,3.5,10,78,2381,200,8778,2,1
1,0,3.8,25,78,2381,300,8778,2,1
1,0,3.8,61,78,1834,300,8778,2,1
1,0,3.7,23,78,946,300,8778,2,1
1,0,3.8,25,78,2328,350,8778,2,1
1,0,3.7,40,78,2482,200,4052,2,1
1,0,3.3,4,78,2281,100,8778,2,1
1,0,3.4,8,78,1338,150,8778,2,1
1,0,3.5,32,78,1834,300,8778,2,1
1,0,3.3,10,78,2381,200,210,2,1
1,0,3.4,6,78,1321,300,8778,2,1
1,0,3.8,53,78,1446,250,8778,2,1
1,0,3.7,67,27,1761,700,8778,2,1
1,0,2.9,23,88,1686,250,3400,2,1
1,0,3.4,19,78,2469,200,8778,2,1
1,0,3.6,24,78,1176,300,8778,2,1
1,0,4,232,78,2410,400,8778,2,1
1,0,3.9,221,27,792,700,8778,2,1
1,1,4.1,1063,28,1493,1200,8778,2,1
1,0,3.7,93,78,2537,200,8778,2,1
1,0,3.9,233,27,1515,800,8778,2,1
1,0,3.9,211,27,1268,500,8778,2,1
1,0,4,1778,78,2189,200,58,2,1
1,0,3.6,218,27,1951,800,8778,2,1
1,0,3.7,514,19,715,600,8778,2,1
1,1,4,866,27,1976,900,8778,2,1
1,0,3.2,96,78,1761,400,8778,2,1
1,0,3.5,80,78,2618,250,8778,2,1
1,0,4,73,0,285,300,5268,2,1
1,0,3.9,84,88,1699,400,8778,2,1
1,0,3.5,88,78,2477,350,8778,2,1
1,0,3.5,179,27,1856,600,8778,2,1
1,0,3.8,61,78,1529,100,8778,2,1
1,0,3.7,128,27,1869,450,8778,2,1
1,0,3.8,339,78,2474,400,1241,2,1
1,0,4.1,449,78,2537,100,8778,2,1
1,0,4.1,210,42,330,150,8778,2,1
1,0,3.7,57,78,1548,200,8778,2,1
1,0,3,213,78,2160,400,8778,2,1
1,0,3.2,208,17,2592,250,7122,2,1
1,0,3.8,70,78,2381,100,208,2,1
1,0,4,219,19,712,600,8778,2,1
1,0,3.7,59,78,2211,200,8778,2,1
1,0,3.1,10,78,1238,500,8778,2,1
1,0,3,9,78,1302,400,8778,2,1
1,0,3.7,124,27,480,750,8778,2,1
1,0,3.7,19,78,2381,100,177,2,1
1,0,3.700448818,0,92,1761,300,8778,2,1
1,0,3.3,4,78,1425,150,8778,2,1
1,0,3.3,4,40,1178,150,8778,2,1
1,0,3.8,21,40,1449,200,8778,2,1
